last_update_id,bid_price,ask_price
40151304977,34715.70000000,34715.71000000
40151305182,34715.70000000,34715.71000000
40151305358,34715.70000000,34715.71000000
40151305557,34715.70000000,34715.71000000
40151305838,34715.65000000,34715.66000000
40151307068,34714.00000000,34714.01000000
40151309128,34704.99000000,34705.00000000
40151310531,34700.00000000,34700.01000000
40151310784,34700.00000000,34700.01000000
40151312144,34697.68000000,34697.69000000
40151316414,34688.00000000,34688.01000000
40151318842,34689.81000000,34689.82000000
40151319977,34688.00000000,34688.01000000
40151320635,34688.00000000,34688.01000000
40151320976,34688.00000000,34688.01000000
40151321830,34687.53000000,34687.54000000
40151323494,34692.08000000,34692.09000000
40151324057,34692.44000000,34692.45000000
40151325170,34698.20000000,34698.21000000
40151325479,34698.20000000,34698.21000000
40151326916,34693.61000000,34693.62000000
40151327209,34693.61000000,34693.62000000
40151327597,34693.61000000,34693.62000000
40151327865,34693.61000000,34693.62000000
40151328121,34693.61000000,34693.62000000